<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AA26-72 hs.-P,20170421,1698.0000,1698.0000,1698.0000,1698.0000,150000
AA26-72 hs.-P,20170424,1706.0000,1710.0000,1706.0000,1707.0000,750000
AA26-72 hs.-P,20170426,1710.0000,1714.0000,1710.0000,1714.0000,450000
AA26-72 hs.-P,20170427,1705.0000,1712.0000,1705.0000,1712.0000,560000
AA26-72 hs.-P,20170428,1707.0000,1712.0000,1707.0000,1712.0000,400000
AA26-72 hs.-P,20170502,1706.0000,1710.0000,1706.0000,1710.0000,1050000
AA26-72 hs.-P,20170503,1709.0000,1709.0000,1700.0000,1709.0000,1050000
AA26-72 hs.-P,20170504,1710.0000,1713.0000,1704.0000,1704.0000,600000
AA26-72 hs.-P,20170505,1700.0000,1701.0000,1696.0000,1697.0000,770000
AA26-72 hs.-P,20170508,1703.0000,1703.0000,1703.0000,1703.0000,150000
AA26-72 hs.-P,20170509,1710.0000,1710.0000,1710.0000,1710.0000,300000
AA26-72 hs.-P,20170511,1700.0000,1700.0000,1700.0000,1700.0000,500000
AA26-72 hs.-P,20170512,1710.0000,1715.0000,1710.0000,1715.0000,750000
AEN-72 hs.-P,20171216,12.9500,13.0500,12.7000,12.8000,528553
AEN-72 hs.-P,20171217,12.8000,12.9000,12.5000,12.6500,511682
AEN-72 hs.-P,20171218,12.6500,12.6500,12.3500,12.3500,642503
AEN-72 hs.-P,20171219,12.1000,12.1500,11.7500,11.9500,1115906
AEN-72 hs.-P,20171220,12.1000,12.2000,11.9000,12.0000,539143
AEN-72 hs.-P,20171223,12.0000,12.1000,11.7500,11.7500,1077792
AEN-72 hs.-P,20171224,11.8000,12.0000,11.6500,11.9000,1947991
AEN-72 hs.-P,20171226,12.1000,12.8000,12.1000,12.7500,822770
AEN-72 hs.-P,20171227,12.7500,13.1500,12.7000,12.9500,943176
AEN-72 hs.-P,20171230,12.9500,13.1000,12.8000,12.8000,547314
AEN-72 hs.-P,20171231,12.8000,13.1500,12.8000,13.1000,1460071
AEN-72 hs.-P,20180101,13.0000,13.1000,12.8500,13.0500,2621734
AEN-72 hs.-P,20180102,13.0500,13.0500,12.8000,12.9500,3251566
AEN-72 hs.-P,20180103,13.1000,13.3500,13.0000,13.2000,1863654
AEN-72 hs.-P,20180106,13.2500,13.5000,13.2500,13.5000,625978
AEN-72 hs.-P,20180107,13.5000,14.2000,13.5000,14.1500,1886109
AEN-72 hs.-P,20180108,14.1500,14.5000,14.1500,14.4500,1286589
AEN-72 hs.-P,20180109,14.4500,14.5000,14.2500,14.4500,1603114
AEN-72 hs.-P,20180110,14.3000,14.3000,13.9000,14.2500,1610490
AEN-72 hs.-P,20180113,14.2500,14.5000,14.1000,14.5000,605624
AEN-72 hs.-P,20180114,14.4500,14.4500,14.1500,14.3500,666751
AEN-72 hs.-P,20180115,14.2000,14.5000,14.2000,14.4500,900923
AEN-72 hs.-P,20180116,14.5000,14.8000,14.4500,14.6500,2858503
AEN-72 hs.-P,20180121,14.9000,14.9500,14.7000,14.9500,1662806
AEN-72 hs.-P,20180122,14.9500,15.3500,14.9500,15.0000,2076483
AEN-72 hs.-P,20180123,15.2500,15.5500,15.1000,15.5000,1812619
AEN-72 hs.-P,20180124,14.4500,15.6000,14.4000,15.6000,4635815
AEN-72 hs.-P,20180127,15.5000,15.9500,15.5000,15.8000,3773497
AEN-72 hs.-P,20180128,16.0000,16.1500,15.7500,16.1000,1058091
AEN-72 hs.-P,20180129,16.2000,16.5000,16.2000,16.3000,1322210
AEN-72 hs.-P,20180130,16.4000,16.7000,16.2500,16.3500,1403164
AEN-72 hs.-P,20180201,16.5500,17.1500,16.5000,16.9000,1625202
AEN-72 hs.-P,20180204,16.4000,17.2000,16.4000,17.0000,618229
AEN-72 hs.-P,20180205,17.0000,17.2000,16.7000,17.2000,734315
AEN-72 hs.-P,20180206,17.0000,17.1500,16.8500,17.0000,781565
AEN-72 hs.-P,20180207,17.1500,17.2500,16.5000,16.5000,951939
ALUA-72 hs.-P,20160516,9.0860,9.2860,8.9870,9.0170,162723
ALUA-72 hs.-P,20160517,8.9870,9.0370,8.6370,8.6870,356089
ALUA-72 hs.-P,20160518,8.6870,8.8370,8.5570,8.5570,229116
ALUA-72 hs.-P,20160519,8.4870,8.6670,8.3380,8.6670,459331
ALUA-72 hs.-P,20160520,8.6370,8.9370,8.6370,8.8470,259139
ALUA-72 hs.-P,20160523,8.6870,8.9870,8.6870,8.8470,112335
ALUA-72 hs.-P,20160524,8.8870,8.9870,8.3880,8.4370,470648
ALUA-72 hs.-P,20160526,8.9370,9.0860,8.4870,8.9870,657979
ALUA-72 hs.-P,20160527,9.0370,9.2260,9.0370,9.1360,376026
ALUA-72 hs.-P,20160530,9.1360,9.2160,9.1360,9.1860,85545
ALUA-72 hs.-P,20160531,9.1860,9.2860,8.9870,9.1560,212769
ALUA-72 hs.-P,20160601,8.9870,9.2160,8.9870,9.0860,280498
ALUA-72 hs.-P,20160602,9.0860,9.1860,8.8670,9.0860,550800
ALUA-72 hs.-P,20160603,9.1360,9.1560,8.9870,9.1560,417105
ALUA-72 hs.-P,20160606,9.1560,9.2160,8.9670,9.0860,174829
ALUA-72 hs.-P,20160607,9.0960,9.2860,9.0960,9.2660,390876
ALUA-72 hs.-P,20160608,9.2660,9.5960,9.2660,9.5860,612138
ALUA-72 hs.-P,20160609,9.5860,9.7850,9.5360,9.7460,500028
ALUA-72 hs.-P,20160610,9.7460,9.7850,9.6060,9.7060,325476
ALUA-72 hs.-P,20160613,9.7060,9.7360,9.5860,9.6360,124017
ALUA-72 hs.-P,20160614,9.6360,9.6360,9.1860,9.3960,231122
ALUA-72 hs.-P,20160615,9.6860,9.6860,9.1960,9.2360,219803
ALUA-72 hs.-P,20160616,9.2860,9.2860,8.8670,8.9770,634434
ALUA-72 hs.-P,20160621,9.1660,9.2360,8.9970,9.0770,451310
ALUA-72 hs.-P,20160622,9.1360,9.3360,9.0860,9.2860,575930
ALUA-72 hs.-P,20160623,9.3860,9.6360,9.3860,9.5760,518955
ALUA-72 hs.-P,20160624,9.0170,9.3860,8.9870,9.3560,1026800
ALUA-72 hs.-P,20160627,9.2860,9.3660,9.1860,9.3660,715792
ALUA-72 hs.-P,20160628,9.4360,9.6860,9.4360,9.4660,797501
ALUA-72 hs.-P,20160629,9.5360,9.6860,9.4860,9.5960,374154
ALUA-72 hs.-P,20160630,9.5960,9.6860,9.4860,9.5860,520766
ALUA-72 hs.-P,20160701,9.7160,9.9250,9.6360,9.8650,812663
ALUA-72 hs.-P,20160704,9.9550,10.2350,9.8350,10.1850,726432
ALUA-72 hs.-P,20160705,10.1850,10.2350,9.9850,10.1850,372723
ALUA-72 hs.-P,20160706,10.1850,10.1850,9.6860,10.0350,215059
ALUA-72 hs.-P,20160707,9.9350,10.1850,9.9350,10.1350,498245
ALUA-72 hs.-P,20160711,10.1350,10.2850,10.0850,10.1350,262238
ALUA-72 hs.-P,20160712,10.1850,10.2850,9.9350,10.0850,406519
ALUA-72 hs.-P,20160713,10.0850,10.1350,9.6860,9.9750,759638
ALUA-72 hs.-P,20160714,9.9850,10.1350,9.6860,9.6860,998362
ALUA-72 hs.-P,20160715,9.6960,9.7750,9.3860,9.5360,869312
ALUA-72 hs.-P,20160718,9.5860,10.0850,9.5860,9.9850,663579
ALUA-72 hs.-P,20160719,10.1850,10.3350,9.9850,10.0350,939965
ALUA-72 hs.-P,20160720,10.0850,10.4340,10.0850,10.4340,1122765
ALUA-72 hs.-P,20160721,10.5340,10.9840,10.3850,10.4840,1762123
ALUA-72 hs.-P,20160722,10.4340,10.7840,10.1850,10.4840,846545
ALUA-72 hs.-P,20160725,10.6840,10.6840,10.3350,10.4840,449196
ALUA-72 hs.-P,20160726,10.5840,10.6840,10.2350,10.3350,694306
ALUA-72 hs.-P,20160727,10.3350,10.3350,9.9850,10.1350,553326
ALUA-72 hs.-P,20160728,10.1350,10.2850,9.9850,10.0350,327381
ALUA-72 hs.-P,20160729,9.9850,10.3350,9.9850,10.1850,426545
ALUA-72 hs.-P,20160801,10.0850,10.2850,9.8850,9.8850,447568
ALUA-72 hs.-P,20160802,9.9250,9.9850,9.4960,9.5060,454862
ALUA-72 hs.-P,20160803,9.6360,9.7360,9.5360,9.7260,721172
ALUA-72 hs.-P,20160804,9.7360,9.8550,9.5360,9.6560,370608
ALUA-72 hs.-P,20160805,9.6560,9.7160,9.5260,9.5660,361432
ALUA-72 hs.-P,20160808,9.6160,9.6860,9.4860,9.5860,161699
ALUA-72 hs.-P,20160809,9.5860,9.6860,9.4860,9.6060,231106
ALUA-72 hs.-P,20160810,9.4860,9.6860,9.4860,9.6360,314425
ALUA-72 hs.-P,20160811,9.6860,9.6860,9.5360,9.5760,149994
ALUA-72 hs.-P,20160812,9.5860,9.6260,9.4260,9.4860,399025
ALUA-72 hs.-P,20160816,9.5360,9.5660,9.3360,9.3860,415790
ALUA-72 hs.-P,20160817,9.3960,9.4360,9.2160,9.2860,325689
ALUA-72 hs.-P,20160818,9.3060,9.4360,9.2060,9.2860,721701
ALUA-72 hs.-P,20160819,9.2960,9.4360,9.1860,9.3360,487529
ALUA-72 hs.-P,20160822,9.3360,9.5360,9.3360,9.4760,438812
ALUA-72 hs.-P,20160823,9.6660,9.7360,9.5560,9.6860,653252
ALUA-72 hs.-P,20160824,9.6860,9.8350,9.6660,9.6860,578466
ALUA-72 hs.-P,20160825,9.6860,9.8250,9.5260,9.5860,412067
ALUA-72 hs.-P,20160826,9.5860,9.6360,9.3360,9.4860,186612
ALUA-72 hs.-P,20160829,9.4860,9.5860,9.4360,9.4860,282289
ALUA-72 hs.-P,20160830,9.5160,9.5860,9.4560,9.4660,918976
ALUA-72 hs.-P,20160831,9.5260,9.5460,9.4360,9.4860,186432
ALUA-72 hs.-P,20160901,9.5160,9.6160,9.3660,9.4260,270138
ALUA-72 hs.-P,20160902,9.4360,9.5360,9.3860,9.4360,338879
ALUA-72 hs.-P,20160905,9.4360,9.4460,9.2860,9.2960,257456
ALUA-72 hs.-P,20160906,9.3060,9.4760,9.1860,9.2860,873449
ALUA-72 hs.-P,20160907,9.2860,9.3160,9.1860,9.2760,1119514
ALUA-72 hs.-P,20160908,9.2760,9.5860,9.2560,9.4960,950234
ALUA-72 hs.-P,20160909,9.5360,9.5660,9.2960,9.3660,481685
ALUA-72 hs.-P,20160912,9.2860,9.3860,9.2660,9.3260,240577
ALUA-72 hs.-P,20160913,9.3860,9.3860,8.9870,9.1360,305155
ALUA-72 hs.-P,20160914,9.1360,9.1660,9.0070,9.1360,318115
ALUA-72 hs.-P,20160915,9.1860,9.2860,9.0370,9.2060,586380
ALUA-72 hs.-P,20160916,9.1860,9.2860,9.0670,9.2760,404741
ALUA-72 hs.-P,20160919,9.2860,9.4660,9.2760,9.3760,823667
ALUA-72 hs.-P,20160920,9.3860,9.6860,9.3860,9.6060,759245
ALUA-72 hs.-P,20160921,9.6860,9.8250,9.4860,9.7650,701190
ALUA-72 hs.-P,20160922,9.8250,9.9850,9.6460,9.9750,1102408
ALUA-72 hs.-P,20160923,9.9850,10.0350,9.8850,9.9750,386379
ALUA-72 hs.-P,20160926,9.9750,10.2350,9.9650,10.1850,1204882
ALUA-72 hs.-P,20160927,10.1850,10.4340,10.0850,10.4340,995196
ALUA-72 hs.-P,20160928,10.4840,10.9340,10.4840,10.8840,2700353
ALUA-72 hs.-P,20160929,10.9840,11.1830,10.5340,10.6340,1993765
ALUA-72 hs.-P,20160930,10.6340,10.8840,10.4840,10.5840,1022945
